2024/09/01 10:46:31.73 j.u.u.Main                     INFO  [main                                              ] - Application Start.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Setting develop environment.
2024/09/01 10:46:31.76 j.u.u.Main                     INFO  [main                                              ] - Using develop environment.
2024/09/01 10:46:31.80 j.u.u.Main                     DEBUG [JavaFX Application Thread                         ] - debug test
2024/09/01 10:46:31.80 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Loading FXML.
2024/09/01 10:46:33.13 j.u.u.Main                     INFO  [JavaFX Application Thread                         ] - Waiting start.
2024/09/01 10:46:35.62 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@25cf8e7e, view=ImageView@3c8cda84[styleClass=image-view], contactable=false)
2024/09/01 10:46:35.75 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@427d4c95, view=ImageView@86520cb[styleClass=image-view], contactable=false)
2024/09/01 10:46:35.85 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6018771d, view=ImageView@62e48b2e[styleClass=image-view], contactable=false)
2024/09/01 10:46:35.93 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1f06b97a, view=ImageView@944f0af[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.01 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@67116fed, view=ImageView@45dac5ab[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.09 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@515af503, view=ImageView@15df00dd[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.16 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4ccb52fc, view=ImageView@b3904af[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.22 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3813f627, view=ImageView@396d599f[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.29 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4e22d4d9, view=ImageView@6284d099[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.34 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6128f252, view=ImageView@41577439[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.39 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@298dbf54, view=ImageView@75683db4[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.44 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5649e589, view=ImageView@49a9e424[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.50 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@1ef57eb, view=ImageView@4d045f22[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.54 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@48872ff0, view=ImageView@789b264a[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.59 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@46524437, view=ImageView@2903e8d6[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.64 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4ead4b41, view=ImageView@50b872d3[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.69 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@dcd1736, view=ImageView@3a0e98d7[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.75 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6ac6fd5e, view=ImageView@12ad2530[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.81 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@6273ccf6, view=ImageView@43945617[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.86 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@60c2bc6f, view=ImageView@4a42e3ab[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.90 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@72d7f8b2, view=ImageView@6e3451ef[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.95 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@672d9aa2, view=ImageView@76e85a9e[styleClass=image-view], contactable=false)
2024/09/01 10:46:36.99 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@63e2f354, view=ImageView@c579fa[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.05 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4525b5cb, view=ImageView@1aa006ae[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.11 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@2f1572ee, view=ImageView@1c4f4450[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.16 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@61c65b70, view=ImageView@2801c369[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.20 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@578b9b3d, view=ImageView@1e1e38c0[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.25 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@4e764b87, view=ImageView@20cad3f8[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.30 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@5f7c5c6d, view=ImageView@25623daf[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.35 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@75be46a0, view=ImageView@52a4d159[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.39 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@184f2f1e, view=ImageView@2bffa67b[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.43 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@52da246e, view=ImageView@6045cc43[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.49 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3e7314a0, view=ImageView@196e393c[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.55 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@34b6303e, view=ImageView@5e47952a[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.59 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@3f930334, view=ImageView@4a797ba2[styleClass=image-view], contactable=false)
2024/09/01 10:46:37.63 j.u.u.m.GameMap                DEBUG [Thread-4                                          ] - 11.GameObject(x=0, y=0, image=javafx.scene.image.Image@68e598ce, view=ImageView@4427aec5[styleClass=image-view], contactable=false)
